,Hotel name,Min price,Stars,Chech in/out,Comments, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe, Jacuzzi, Restaurant,     TV,     Ավտոկայանատեղի ,     Wi-Fi ինտերնետ,     Ֆեն,     Կոնֆերանս Դահլիճ,     Օդորակիչ,     Նախաճաշ,     Սեյֆ,     Մինիբար,     Զգեստապահարան,     Հեռախոս,     Սեղան/Գրասեղան,    Լողասենյակ , Laundry, Room service, Safe, Minibar, Wardrobe, Phone, Bathroom, Dryer, Playground, Fitness, Table/Desk, Billiards, Refrigerator, SPA, Kitchen, Grill/BBQ, Garden, Table tennis, Cottages, Kid's room, FB meal, HB meal, Microwave, Pets allowed, Tennis
16,Hotel National Armenia,59000,5,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking,,,, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,,, Room service, Safe,,, Phone,,,, Fitness,,,,,,,,,,,,,,,
17,Bomo Nairi Hotel,23000,4,"Check in: 14:00
Check out: 12:00",0,, Pool, Parking,, Conference Room,,,,,,,,,,,,,,,,,,, Laundry,,,,,,, Dryer,,,,,,,,,,,,,,,,,
18,Polo Hotel,14500,0,"Check in: 12:00
Check out: 12:00",0,,, Parking, Wi-Fi,, Air Conditioning, Breakfast, Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Garden,,,,,,,,
19,Rest House Dilijan,30000,3,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,, Wardrobe,, Bathroom,,,, Table/Desk,,,, Kitchen, Grill/BBQ, Garden,,,,,,,,
20,Antaratun Aghveran,30000,0,"Check in: 14:00
Check out: 12:00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Kitchen,, Garden,,,,,,,,
21,Aurora Resort Tsaghkadzor,44500,0,"Check in: 14:00
Check out: 12:00",0,, Pool,, Wi-Fi, Conference Room,, Breakfast,,, Restaurant,,,,,,,,,,,,,,,,,,,,,, Playground,,,,,,,,, Table tennis,,,,,,,
22,Tsaghkadzor Inn Hotel,29000,3,"Check in: 14:00
Check out: 12:00",0, TV, Pool,, Wi-Fi,, Air Conditioning, Breakfast,,, Restaurant,,,,,,,,,,,,,,,,, Minibar,, Phone, Bathroom, Dryer,,,, Billiards,,, Kitchen, Grill/BBQ,, Table tennis,,,,,,,
23,V&V Hotel,100000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room,, Breakfast,,, Restaurant,,,,,,,,,,,,,,, Room service,,,,, Bathroom, Dryer, Playground,, Table/Desk,,,,,, Garden,, Cottages,,,,,,
24,Alaska resort,23000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,,, Room service, Safe, Minibar, Wardrobe, Phone, Bathroom, Dryer, Playground,, Table/Desk,, Refrigerator,, Kitchen, Grill/BBQ, Garden,, Cottages, Kid's room, FB meal, HB meal,,,
25,Woodland Cottages,35000,0,"Check in: 14:00
Check out: 12:00",0, TV,,, Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,, Wardrobe, Phone,, Dryer,,, Table/Desk,, Refrigerator,, Kitchen, Grill/BBQ, Garden,, Cottages, Kid's room,,,,,
26,Hotel.am,10000,0,"Check in: 00:00
Check out: 00:00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Vila Plaza Guest House,180000,0,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi,,,,,,,,,,,,,,,,,,,,, Room service,,, Wardrobe,, Bathroom, Dryer,,, Table/Desk,, Refrigerator,, Kitchen, Grill/BBQ, Garden,,,,,,,,
