,Air Conditioning,Bathroom,Billiards,Breakfast,Cafe,Comments,Conference Room,Cottages,Dryer,FB meal,Fitness,Garden,Grill/BBQ,HB meal,Hotel name,Jacuzzi,Kid's room,Kitchen,Laundry,Microwave,Min price,Minibar,Parking,Pets allowed,Phone,Playground,Pool,Refrigerator,Restaurant,Room service,SPA,Safe,Stars,Table tennis,Table/Desk,Tennis,Wardrobe,Wi-Fi,Chech in,Chech out
17,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Bomo Nairi Hotel,not available,not available,not available, Laundry,not available,23000.0,Minibar,Parking,not available,Phone,not available, Pool,not available,not available,not available,not available,Safe,4,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
18,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available, Garden,not available,not available,Polo Hotel,not available,not available,not available,not available,not available,14500.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 12:00:00,2022-05-02 12:00:00
19,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available, Garden, Grill/BBQ,not available,Rest House Dilijan,not available,not available, Kitchen,not available,not available,30000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,3,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
20,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available, Garden,not available,not available,Antaratun Aghveran,not available,not available, Kitchen,not available,not available,30000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
21,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Aurora Resort Tsaghkadzor,not available,not available,not available,not available,not available,44500.0,Minibar,Parking,not available,Phone, Playground, Pool,not available, Restaurant,not available,not available,Safe,0, Table tennis,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
22,Air Conditioning,Bathroom, Billiards,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available, Grill/BBQ,not available,Tsaghkadzor Inn Hotel,not available,not available, Kitchen,not available,not available,29000.0,Minibar,Parking,not available,Phone,not available, Pool,not available, Restaurant,not available,not available,Safe,3, Table tennis,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
23,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room, Cottages,Dryer,not available,not available, Garden,not available,not available,V&V Hotel,not available,not available,not available,not available,not available,100000.0,Minibar,Parking,not available,Phone, Playground,not available,not available, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
24,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room, Cottages,Dryer, FB meal,not available, Garden, Grill/BBQ, HB meal,Alaska resort,not available, Kid's room, Kitchen,not available,not available,23000.0,Minibar,Parking,not available,Phone, Playground,not available, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
25,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room, Cottages,Dryer,not available,not available, Garden, Grill/BBQ,not available,Woodland Cottages,not available, Kid's room, Kitchen,not available,not available,35000.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator,not available,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
26,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Hotel.am,not available,not available,not available,not available,not available,10000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 00:00:00,2022-05-02 00:00:00
27,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available, Garden, Grill/BBQ,not available,Vila Plaza Guest House,not available,not available, Kitchen,not available,not available,180000.0,Minibar,Parking,not available,Phone,not available, Pool, Refrigerator,not available, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
28,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room, Cottages,Dryer,not available,not available, Garden,not available,not available,Hover Boutique Hotel,not available, Kid's room,not available, Laundry,not available,25000.0,Minibar,Parking,not available,Phone,not available,not available,not available, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
29,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available, Garden, Grill/BBQ,not available,Kochar Garden Hotel Yerevan, Jacuzzi,not available,not available,not available,not available,18000.0,Minibar,Parking,not available,Phone,not available, Pool, Refrigerator, Restaurant,not available,not available,Safe,4,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
30,Air Conditioning,Bathroom,not available,Breakfast,not available,1,Conference Room,not available,Dryer,not available,not available, Garden,not available,not available,Tsaghkadzori Tun,not available,not available, Kitchen,not available,not available,80000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
31,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer, FB meal,not available, Garden, Grill/BBQ, HB meal,Garni HinYard,not available,not available,not available, Laundry,not available,0.0,Minibar,Parking,not available,Phone,not available, Pool,not available, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
32,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer, FB meal,not available,not available, Grill/BBQ, HB meal,Kirch Hotel, Jacuzzi,not available,not available,not available,not available,20400.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator, Restaurant,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
33,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer, FB meal,not available,not available,not available, HB meal,California Boutique Hotel,not available,not available,not available, Laundry, Microwave,13000.0,Minibar,Parking,not available,Phone, Playground,not available, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 13:00:00,2022-05-02 12:00:00
34,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer, FB meal,not available,not available, Grill/BBQ, HB meal,Zangezur Hotel,not available,not available,not available, Laundry,not available,8000.0,Minibar,Parking, Pets allowed,Phone,not available,not available, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
35,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer, FB meal,not available, Garden, Grill/BBQ, HB meal,Edem Hotel,not available,not available, Kitchen,not available,not available,20000.0,Minibar,Parking,not available,Phone, Playground,not available, Refrigerator,not available,not available,not available,Safe,0, Table tennis,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
36,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Har-Mar Hotel,not available,not available, Kitchen,not available,not available,8000.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator,not available, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
37,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available, Garden,not available,not available,Cozy House Dilijan,not available,not available,not available,not available,not available,25000.0,Minibar,Parking,not available,Phone, Playground,not available, Refrigerator,not available,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
38,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer, FB meal,not available, Garden, Grill/BBQ, HB meal,Menua Resort,not available,not available,not available, Laundry,not available,12000.0,Minibar,Parking, Pets allowed,Phone, Playground, Pool, Refrigerator, Restaurant, Room service,not available,Safe,0, Table tennis,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
39,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Areguni Guest House,not available,not available,not available,not available,not available,12000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
40,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer, FB meal,not available,not available, Grill/BBQ, HB meal,Vale Hotel,not available,not available,not available, Laundry,not available,10000.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 12:00:00,2022-05-02 14:00:00
41,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Hotel Felisa,not available,not available,not available,not available,not available,16000.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator,not available, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
42,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer, FB meal,not available, Garden, Grill/BBQ, HB meal,Getap Rest House in Bjni,not available,not available, Kitchen,not available,not available,20000.0,Minibar,Parking, Pets allowed,Phone, Playground, Pool, Refrigerator,not available, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
43,Air Conditioning,Bathroom, Billiards,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available, Fitness,not available, Grill/BBQ, HB meal,Hotel Fenix Complex,not available,not available,not available,not available,not available,15000.0,Minibar,Parking,not available,Phone,not available, Pool, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
44,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available, Garden, Grill/BBQ,not available,Vorotnavan Rest Home,not available,not available, Kitchen, Laundry,not available,5000.0,Minibar,Parking, Pets allowed,Phone, Playground, Pool,not available, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
45,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer, FB meal,not available, Garden, Grill/BBQ, HB meal,Flora Hotel,not available,not available, Kitchen, Laundry,not available,5000.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
46,Air Conditioning,Bathroom, Billiards,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available, Garden, Grill/BBQ,not available,Grand House,not available,not available,not available, Laundry,not available,15000.0,Minibar,Parking,not available,Phone,not available, Pool, Refrigerator,not available, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
47,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available, Fitness,not available, Grill/BBQ,not available,Vanatur Hotel, Jacuzzi, Kid's room,not available,not available,not available,20000.0,Minibar,Parking,not available,Phone,not available, Pool, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
48,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available, Garden, Grill/BBQ,not available,Asour Hotel,not available,not available,not available, Laundry,not available,15000.0,Minibar,Parking, Pets allowed,Phone,not available,not available, Refrigerator,not available, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
49,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room, Cottages,Dryer, FB meal,not available, Garden, Grill/BBQ,not available,Rubin Hotel,not available,not available,not available, Laundry,not available,12000.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
50,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room, Cottages,Dryer,not available,not available, Garden, Grill/BBQ,not available,Getahovit Resort,not available,not available,not available,not available,not available,25000.0,Minibar,Parking, Pets allowed,Phone, Playground,not available, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 13:00:00,2022-05-02 12:00:00
51,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available, Garden, Grill/BBQ,not available,Lider Complex, Jacuzzi,not available,not available, Laundry,not available,9000.0,Minibar,Parking, Pets allowed,Phone, Playground,not available, Refrigerator, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
52,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available, Garden, Grill/BBQ,not available,Khoreayi Dzor,not available,not available,not available,not available,not available,20000.0,Minibar,Parking,not available,Phone,not available,not available,not available, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
53,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room, Cottages,Dryer, FB meal,not available, Garden, Grill/BBQ, HB meal,Artsvik Hotel,not available,not available, Kitchen,not available,not available,18000.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator, Restaurant, Room service,not available,Safe,4, Table tennis,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
